capital,leverage,adverse_bps_per_side,direction,variant,ending_equity,net_profit,return_pct,annualized_pct,max_5min_close_drawdown_pct,trades,win_rate_pct,profit_factor,expectancy_dollars,months,positive_months,months_at_least_1000,months_at_least_2000,worst_month,best_month,average_month,large_participation_trades,ambiguous_entry_bar_stops
15000,1,0.0,both_hypothetical_borrow,base,7139.4596748980275,-7860.5403251019725,-52.403602167346484,-36.07561489447267,52.403602167346484,9008,9.52486678507993,0.18716492327269046,-0.8726177092697589,20,0,0,0,-699.0398949999999,-92.57308000000194,-393.0270162550986,0,5241
15000,1,0.0,both_hypothetical_borrow,top20_rvol,8411.896589002525,-6588.103410997475,-43.920689406649835,-29.433651288194472,43.920689406649835,4093,8.502321035914976,0.42315251669768045,-1.6096025924743431,20,1,0,0,-572.3878577985834,9.405755000005229,-329.4051705498738,0,2841
15000,1,0.0,long_only,base,10086.525287965722,-4913.474712034278,-32.756498080228525,-21.27350353128272,32.756498080228525,5515,10.462375339981868,0.213246605944032,-0.8909292315565346,20,0,0,0,-436.39394857142725,-25.139069999999265,-245.6737356017139,0,3123
15000,1,0.0,long_only,top20_rvol,10851.050350181844,-4148.949649818156,-27.659664332121036,-17.72925369681544,27.659664332121036,2096,8.492366412213741,0.3516522243554532,-1.9794607107911055,20,0,0,0,-340.53673965514645,-13.58039928571452,-207.44748249090782,0,1436
15000,1,2.5,both_hypothetical_borrow,base,6744.23330493377,-8255.76669506623,-55.038444633774866,-38.23256571186192,55.038444633774866,8684,7.934131736526946,0.15111620067649573,-0.9506870906340659,20,0,0,0,-753.6389937163949,-109.70351059958193,-412.78833475331146,0,5565
15000,1,2.5,both_hypothetical_borrow,top20_rvol,7159.125486579979,-7840.874513420021,-52.27249675613348,-35.969544714935566,52.27249675613348,4048,6.941699604743083,0.32471684472190887,-1.9369749292045533,20,0,0,0,-641.4025820525003,-113.88397875294868,-392.043725671001,0,3001
15000,1,2.5,long_only,base,9603.899611652236,-5396.100388347764,-35.9740025889851,-23.566004208766365,35.9740025889851,5392,8.549703264094957,0.15933769194968117,-1.0007604577796303,20,0,0,0,-472.030695059806,-42.067419954473735,-269.8050194173882,0,3417
15000,1,2.5,long_only,top20_rvol,10076.816376147253,-4923.183623852747,-32.821224159018314,-21.319186105382148,32.821224159018314,2093,6.880076445293836,0.26549926865144857,-2.352213867105948,20,0,0,0,-376.8497623187923,-47.64487463610931,-246.15918119263733,0,1539
15000,1,5.0,both_hypothetical_borrow,base,6342.491609687046,-8657.508390312954,-57.71672260208636,-40.47720340464009,57.71672260208636,8356,6.366682623264721,0.11391537065205416,-1.036082861454398,20,0,0,0,-832.6543435580843,-131.75261070118177,-432.8754195156477,0,5844
15000,1,5.0,both_hypothetical_borrow,top20_rvol,6082.437761044532,-8917.562238955468,-59.45041492636979,-41.96039006169882,59.45041492636979,3971,5.590531352304205,0.23459540179764427,-2.2456716794146234,20,0,0,0,-729.8106663452036,-122.67628145944036,-445.8781119477735,0,3123
