capital,leverage,adverse_bps_per_side,direction,variant,ending_equity,net_profit,return_pct,annualized_pct,max_5min_close_drawdown_pct,trades,win_rate_pct,profit_factor,expectancy_dollars,months,positive_months,months_at_least_1000,months_at_least_2000,worst_month,best_month,average_month,large_participation_trades,ambiguous_entry_bar_stops
15000,1,0.0,both_hypothetical_borrow,base,13623.42619428571,-1376.5738057142898,-9.177158704761935,-32.047397627351636,9.177158704761935,1820,15.164835164835164,0.35531193453825666,-0.7563592339089484,3,0,0,0,-541.205772142861,-401.58794142857187,-458.8579352380966,0,343
15000,1,0.0,both_hypothetical_borrow,top20_rvol,14316.433981428561,-683.5660185714387,-4.557106790476261,-17.072965314842627,4.628840113014099,663,14.328808446455504,0.7136973146587431,-1.031019635854347,3,0,0,0,-425.0589257142892,-65.46378428571916,-227.8553395238129,0,187
15000,1,0.0,long_only,base,14329.892107857138,-670.1078921428616,-4.467385947619073,-16.75962962881806,4.514731372309266,897,15.050167224080269,0.3743444890363853,-0.7470545062908109,3,0,0,0,-256.10307142857164,-187.2235200000032,-223.36929738095387,0,184
15000,1,0.0,long_only,top20_rvol,14642.528832142847,-357.471167857153,-2.3831411190476826,-9.227264065762641,3.1470343460309635,362,14.088397790055248,0.7378966099623038,-0.9874894139700129,3,1,0,0,-225.93826785714555,48.71182285713985,-119.15705595238433,0,106
15000,1,2.5,both_hypothetical_borrow,base,13386.074102864653,-1613.9258971353465,-10.759505980902306,-36.675937437342846,10.759505980902306,1813,12.796469939327082,0.28558491439628025,-0.8901963028876678,3,0,0,0,-596.8528687323833,-482.3096429603411,-537.9752990451155,0,451
15000,1,2.5,both_hypothetical_borrow,top20_rvol,13912.258374374336,-1087.7416256256638,-7.25161083750443,-26.07753945314688,7.25161083750443,660,13.18181818181818,0.5662883280195714,-1.6480933721600963,3,0,0,0,-493.2728130679752,-266.6525614173479,-362.5805418752213,0,219
15000,1,2.5,long_only,base,14204.96985130689,-795.0301486931094,-5.3002009912873955,-19.63418497507269,5.3002009912873955,896,12.946428571428573,0.29968811240457355,-0.8873104338092775,3,0,0,0,-283.94097743418934,-228.7165022441368,-265.0100495643698,0,236
15000,1,2.5,long_only,top20_rvol,14483.487840420417,-516.5121595795827,-3.4434143971972198,-13.120250472621798,3.698157560670734,362,12.98342541436464,0.6442099957965977,-1.4268291701093412,3,0,0,0,-264.87700578158547,-30.754006480712633,-172.1707198598609,0,117
15000,1,5.0,both_hypothetical_borrow,base,13215.892508025088,-1784.1074919749117,-11.894049946499408,-39.84585867703396,11.894049946499408,1804,11.64079822616408,0.24523276746970923,-0.9889731108508385,3,0,0,0,-656.7761401744647,-530.0319244478069,-594.7024973249705,0,541
15000,1,5.0,both_hypothetical_borrow,top20_rvol,13585.654168696552,-1414.345831303448,-9.428972208689657,-32.80044795496434,9.428972208689657,660,11.515151515151516,0.47105077592241995,-2.1429482292476516,3,0,0,0,-618.6110121562178,-387.042671736348,-471.44861043448265,0,249
15000,1,5.0,long_only,base,14112.572486541769,-887.4275134582313,-5.916183423054877,-21.711873481747567,5.916183423054877,893,11.758118701007838,0.2556398979965654,-0.9937598135030602,3,0,0,0,-319.15146725088016,-255.43532976125243,-295.8091711527438,0,291
15000,1,5.0,long_only,top20_rvol,14281.433769292023,-718.5662307079765,-4.79044153805318,-17.88370337236721,4.807688295320512,362,11.602209944751381,0.53937124686914,-1.9849895875910852,3,0,0,0,-355.6052540846522,-92.2875805875683,-239.52207690265882,0,137
15000,4,0.0,both_hypothetical_borrow,base,12618.690602857141,-2381.309397142859,-15.875395980952389,-50.03557947933246,15.986569753006375,2533,15.554678247137781,0.6333809791680077,-0.9401142507472798,3,0,0,0,-1121.7145928571463,-562.4937407142861,-793.7697990476196,1,501
15000,4,0.0,both_hypothetical_borrow,top20_rvol,13608.091525714275,-1391.9084742857249,-9.279389828571494,-32.35388055072917,11.36108923118827,679,14.727540500736378,0.7884962410295479,-2.0499388428361183,3,1,0,0,-946.9510535714326,101.84606499999245,-463.96949142857494,5,191
15000,4,0.0,long_only,base,13976.865045714283,-1023.134954285717,-6.820899695238114,-24.69000788588367,7.33281271994608,1242,15.539452495974235,0.6884697308714973,-0.8237801564297227,3,0,0,0,-477.78760428571513,-267.89212214285726,-341.04498476190565,1,263
15000,4,0.0,long_only,top20_rvol,14451.522937857142,-548.4770621428579,-3.65651374761905,-13.88729936838483,7.634590740326486,371,14.016172506738545,0.8566222363739334,-1.4783748305737516,3,1,0,0,-518.0554728571406,427.9411378571367,-182.82568738095264,0,107
15000,4,2.5,both_hypothetical_borrow,base,11455.6491376189,-3544.3508623810994,-23.629005749207334,-66.10734018343696,23.629005749207334,2521,13.407378024593417,0.4797604977728592,-1.4059305285129269,3,0,0,0,-1397.8328226762114,-1033.7552656248408,-1181.4502874603666,1,640
15000,4,2.5,both_hypothetical_borrow,top20_rvol,12537.143102079686,-2462.8568979203137,-16.419045986135426,-51.31901673494814,16.419045986135426,677,13.293943870014772,0.6403418885688159,-3.6378979289812623,3,0,0,0,-1149.679553995309,-511.6624381220099,-820.9522993067712,5,223
15000,4,2.5,long_only,base,13281.327088158236,-1718.6729118417643,-11.457819412278425,-38.641477247211085,11.479516973522752,1242,13.20450885668277,0.5144270698199868,-1.3837946150094753,3,0,0,0,-620.7915314597285,-523.8114016875988,-572.8909706139215,1,328
15000,4,2.5,long_only,top20_rvol,13884.079354141832,-1115.9206458581684,-7.4394709723877845,-26.676678681582356,9.460569107529082,371,12.93800539083558,0.725486914340309,-3.007872360803682,3,1,0,0,-655.2960394837628,122.28512992825563,-371.9735486193895,0,118
15000,4,5.0,both_hypothetical_borrow,base,10673.074014609461,-4326.925985390539,-28.846173235936924,-74.48692506134587,28.846173235936924,2501,12.195121951219512,0.39196753150283536,-1.7300783628110907,3,0,0,0,-1616.9495619721001,-1280.8241268367965,-1442.3086617968463,1,770
15000,4,5.0,both_hypothetical_borrow,top20_rvol,11474.30749711092,-3525.69250288908,-23.504616685927203,-65.8852271788503,23.504616685927203,677,11.669128508124077,0.5111748431533447,-5.207817581815473,3,0,0,0,-1496.3686051674285,-971.9266702639907,-1175.23083429636,5,254
15000,4,5.0,long_only,base,12864.58129235685,-2135.41870764315,-14.236124717621001,-46.01147803820614,14.236124717621001,1240,12.096774193548388,0.43336854195897784,-1.7221118610025372,3,0,0,0,-749.9195973552942,-648.3705014289862,-711.8062358810499,1,403
15000,4,5.0,long_only,top20_rvol,13212.39850314106,-1787.6014968589407,-11.917343312392937,-39.90966568119201,12.397779351359151,370,11.351351351351353,0.5885356739973089,-4.831355396916057,3,0,0,0,-880.4923695125763,-82.09278598738638,-595.8671656196469,0,139
20000,1,0.0,both_hypothetical_borrow,base,18225.170804285717,-1774.8291957142828,-8.874145978571413,-31.13285601799387,8.874145978571413,2206,15.004533091568451,0.4255564779332299,-0.8045463262530768,3,0,0,0,-749.7269621428604,-497.39954928571024,-591.6097319047609,0,415
20000,1,0.0,both_hypothetical_borrow,top20_rvol,19207.900380000003,-792.0996199999972,-3.9604980999999873,-14.972673658268022,4.065565266788607,682,14.809384164222875,0.7490803176263925,-1.161436392961884,3,0,0,0,-526.4556592857116,-69.36863285714571,-264.03320666666576,0,192
20000,1,0.0,long_only,base,19169.528670714284,-830.4713292857159,-4.152356646428579,-15.652395217774773,4.191382216732109,1089,14.967860422405877,0.4642437517756462,-0.7625999350649361,3,0,0,0,-356.9441014285767,-200.65468928570772,-276.823776428572,0,219
20000,1,0.0,long_only,top20_rvol,19571.963000714284,-428.03699928571586,-2.1401849964285846,-8.317066387249561,2.9579242196009603,371,14.016172506738545,0.762594480779224,-1.153738542549102,3,1,0,0,-293.10088928571713,68.07985499999995,-142.6789997619053,0,107
20000,1,2.5,both_hypothetical_borrow,base,17819.62425939294,-2180.3757406070617,-10.901878703035306,-37.080455790423,10.901878703035306,2187,12.894375857338819,0.33100933342717787,-0.9969710748089005,3,0,0,0,-824.4866376266982,-631.3309119728474,-726.7919135356873,0,542
20000,1,2.5,both_hypothetical_borrow,top20_rvol,18771.194495226875,-1228.805504773125,-6.144027523865625,-22.470071161212513,6.144027523865625,680,13.529411764705882,0.6323275519198666,-1.8070669187839914,3,0,0,0,-621.614689746526,-282.0474604013507,-409.601834924375,0,223
20000,1,2.5,long_only,base,18920.66571408073,-1079.3342859192708,-5.396671429596356,-19.96227925879701,5.396671429596356,1085,12.995391705069123,0.34523098237477373,-0.9947781437044021,3,0,0,0,-395.0288266885,-291.5191409974759,-359.7780953064236,0,280
20000,1,2.5,long_only,top20_rvol,19358.087572166398,-641.9124278336021,-3.2095621391680096,-12.272609956459402,3.508824718676562,371,12.93800539083558,0.6655839670946556,-1.7302221774490654,3,0,0,0,-350.08224278252237,-39.72019007109702,-213.97080927786737,0,118
20000,1,5.0,both_hypothetical_borrow,base,17552.012906293294,-2447.987093706706,-12.239935468533536,-40.78812040151326,12.239935468533536,2180,11.46788990825688,0.2857718976189171,-1.1229298594984882,3,0,0,0,-914.0915981683102,-715.1353268270832,-815.9956979022354,0,655
20000,1,5.0,both_hypothetical_borrow,top20_rvol,18280.78373726487,-1719.2162627351317,-8.596081313675663,-30.28550856283252,8.596081313675663,680,11.76470588235294,0.5196021914127242,-2.528259209904594,3,0,0,0,-809.7676343290987,-411.0913453621579,-573.0720875783772,0,255
20000,1,5.0,long_only,base,18793.845996635275,-1206.1540033647252,-6.030770016823627,-22.093876240265466,6.030770016823627,1085,11.889400921658986,0.3063901128198675,-1.1116626759121921,3,0,0,0,-437.3488112659725,-332.4644555656596,-402.0513344549084,0,343
20000,1,5.0,long_only,top20_rvol,19093.47695042831,-906.5230495716896,-4.532615247858452,-16.987520553552393,4.532615247858452,369,11.653116531165312,0.5604453871153836,-2.456702031359563,3,0,0,0,-471.31310065454454,-111.66865505684109,-302.17434985722986,0,138
20000,4,0.0,both_hypothetical_borrow,base,17363.157362857153,-2636.842637142847,-13.184213185714233,-43.304133370553885,13.528786598368791,2589,15.797605252993433,0.694329515154448,-1.0184791954974362,3,0,0,0,-1309.1671028571436,-581.9596557142795,-878.9475457142822,2,506
20000,4,0.0,both_hypothetical_borrow,top20_rvol,18267.657113571408,-1732.3428864285925,-8.661714432142965,-30.486214481247707,11.042026601220567,682,15.102639296187684,0.8020707359128146,-2.5400922088395674,3,1,0,0,-1239.0112921428663,207.96915357141188,-577.4476288095308,13,192
20000,4,0.0,long_only,base,18842.52408571427,-1157.4759142857292,-5.787379571428641,-21.280796847070416,6.443984778830247,1274,15.620094191522762,0.7360219431532459,-0.9085368244000916,3,0,0,0,-579.9928292857185,-273.38078428572044,-385.82530476190976,1,265
20000,4,0.0,long_only,top20_rvol,19304.924920714286,-695.0750792857143,-3.4753753964285705,-13.235619495803741,7.611507634747006,371,14.016172506738545,0.8635331686734484,-1.8735177339237747,3,1,0,0,-676.3353457142912,601.3046578571411,-231.6916930952381,5,107
20000,4,2.5,both_hypothetical_borrow,base,15716.614082637732,-4283.385917362268,-21.41692958681134,-61.99172269135234,21.41692958681134,2570,13.540856031128405,0.524781896462066,-1.666687127378315,3,0,0,0,-1718.2366659107574,-1235.3956985730674,-1427.7953057874226,1,645
20000,4,2.5,both_hypothetical_borrow,top20_rvol,16873.188453152907,-3126.8115468470933,-15.634057734235462,-49.45776317940641,15.634057734235462,682,13.636363636363635,0.6579854031484248,-4.58476766399864,3,0,0,0,-1499.2514998753832,-664.6810633264977,-1042.2705156156978,10,224
20000,4,2.5,long_only,base,17914.483387984288,-2085.516612015712,-10.427583060078561,-35.72527526717907,10.521953075284385,1270,13.307086614173228,0.5549802715355093,-1.6421390645792924,3,0,0,0,-748.6435129222373,-623.5199645777975,-695.1722040052373,1,330
20000,4,2.5,long_only,top20_rvol,18577.61380722028,-1422.3861927797188,-7.111930963898594,-25.629683706724283,9.36216288829459,371,12.93800539083558,0.7364340661841063,-3.833925047923784,3,1,0,0,-857.6677172696327,207.62228210409012,-474.1287309265729,5,118
20000,4,5.0,both_hypothetical_borrow,base,14621.382405661701,-5378.617594338299,-26.8930879716915,-71.55767742879557,26.8930879716915,2567,12.38800155823919,0.4315133956674248,-2.09529318049797,3,0,0,0,-2051.0991798716313,-1566.2054580118238,-1792.8725314460996,1,782
20000,4,5.0,both_hypothetical_borrow,top20_rvol,15429.891693130323,-4570.108306869677,-22.85054153434839,-64.6992524280725,22.85054153434839,682,11.87683284457478,0.5260528787648678,-6.7010385731227045,3,0,0,0,-1958.713206557526,-1269.3003700337395,-1523.3694356232256,10,256
20000,4,5.0,long_only,base,17346.875857164894,-2653.124142835106,-13.26562071417553,-43.51721813100896,13.26562071417553,1261,12.212529738302933,0.46672461431459333,-2.1039842528430666,3,0,0,0,-933.7040047524679,-794.0188579689056,-884.3747142783686,1,404
20000,4,5.0,long_only,top20_rvol,17745.511208481792,-2254.488791518208,-11.272443957591038,-38.124233039046416,11.863629647398266,371,11.590296495956872,0.6104436315685196,-6.076789195466849,3,0,0,0,-1170.2307977838536,-90.31947499559101,-751.4962638394027,5,139
